what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1453412612225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453412665163
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412727509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412761420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412763000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412763550
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412767184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412770849
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1453412850313
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453412851351
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453412856155
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453412865295
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1453412865699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412866094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412866942
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1453412868642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412870642
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1453412871341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412871369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412871425
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1453412871949
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1453412892845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412892918
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-4]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1453412893749
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1453412895833
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453412953360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413089053
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1453413107664
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1453413110827
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453413117720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413127636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413147692
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453413156766
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1453413160719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413161130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413161873
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453413169881
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1453413170631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413170961
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413171827
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453413184601
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1453413185711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413186038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413186938
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1453413188554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413190314
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1453413190972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413190996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413191103
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1453413191672
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1453413212546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453413212606
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-4]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1453413213439
