what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454086020961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086021308
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086022314
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454086030370
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086032172
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454086032646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086032671
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454086033267
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454086034059
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-4]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1454086034966
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454086039503
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454086040483
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454086041936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454086042322
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454086043030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086044477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086080940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086085119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086129730
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454086130905
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086134813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086180828
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454086181655
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086182304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086227708
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454086227770
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454086228587
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454086230494
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454086231595
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454086233238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454086236047
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086239762
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086244090
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454086246252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086246611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086250132
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086253777
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454086254495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086254520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086254590
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454086255686
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454086256014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454086256069
